"","items","count","total","rnd","customer","age","city","paymentType"
"6860","sliced cheese,hard cheese,coffee,soda,bottled beer,chewing gum,hygiene articles",7,400,6,"Walaa",29,"Cairo","Credit"
"6861","whole milk,dessert",2,2039,14,"Magdy",36,"Sohag","Credit"
"6862","yogurt,soft cheese",2,1131,11,"Hanan",22,"Fayoum","Cash"
"6865","citrus fruit,pip fruit,other vegetables",3,648,6,"Walaa",29,"Cairo","Credit"
"6866","frankfurter,meat,white bread,newspapers",4,2153,14,"Magdy",36,"Sohag","Cash"
"6867","bottled water,flower (seeds)",2,1846,8,"Rania",37,"Dakahlia","Cash"
"6868","finished products,dessert,pastry,shopping bags",4,1877,4,"Adel",50,"Alexandria","Cash"
"6869","abrasive cleaner",1,940,10,"Samy",55,"Alexandria","Credit"
"6870","dessert,misc. beverages,fruit/vegetable juice",3,745,11,"Hanan",22,"Fayoum","Credit"
"6871","other vegetables,whole milk,butter,yogurt,beverages,sliced cheese,cereals,pot plants",8,2105,6,"Walaa",29,"Cairo","Credit"
"6872","curd,whipped/sour cream,bottled water",3,1415,6,"Walaa",29,"Cairo","Cash"
"6873","bottled beer,nut snack",2,592,4,"Adel",50,"Alexandria","Cash"
"6874","whipped/sour cream,newspapers",2,1531,3,"Ahmed",30,"Giza","Cash"
"6875","frankfurter",1,403,6,"Walaa",29,"Cairo","Cash"
"6876","soda",1,548,1,"Farida",22,"Cairo","Cash"
"6877","specialty cheese,soap",2,1578,4,"Adel",50,"Alexandria","Cash"
"6878","other vegetables,whole milk,frozen vegetables,frozen dessert,soups,soda,napkins,flower (seeds)",8,125,6,"Walaa",29,"Cairo","Credit"
"6879","misc. beverages,chocolate,shopping bags",3,1693,1,"Farida",22,"Cairo","Cash"
"6880","bottled water",1,327,8,"Rania",37,"Dakahlia","Credit"
"6881","soda,chewing gum",2,1821,12,"Eman",23,"Aswan","Credit"
"6882","other vegetables",1,1079,6,"Walaa",29,"Cairo","Cash"
"6883","citrus fruit,semi-finished bread,newspapers",3,163,7,"Huda",39,"Gharbia","Credit"
"6884","root vegetables,other vegetables,whole milk,pet care,soda",5,1829,14,"Magdy",36,"Sohag","Cash"
"6885","turkey,packaged fruit/vegetables,butter milk,UHT-milk,rolls/buns,zwieback,bottled water,fruit/vegetable juice",8,574,9,"Maged",60,"Hurghada","Credit"
"6886","yogurt,canned beer",2,2159,5,"Shimaa",55,"Port Said","Cash"
"6887","citrus fruit,other vegetables,white bread,brown bread,roll products ,margarine,coffee,fruit/vegetable juice,syrup",9,1894,2,"Mohamed",25,"Alexandria","Credit"
"6888","pip fruit,misc. beverages",2,1266,14,"Magdy",36,"Sohag","Cash"
"6889","curd,yogurt,oil,bottled water,bottled beer,male cosmetics",6,2393,10,"Samy",55,"Alexandria","Credit"
"6890","liver loaf",1,2048,15,"Sameh",35,"Hurghada","Cash"
"6891","whole milk,processed cheese,pastry,soda",4,172,7,"Huda",39,"Gharbia","Credit"
"6892","beef,other vegetables,packaged fruit/vegetables,dog food",4,887,7,"Huda",39,"Gharbia","Credit"
"6893","ice cream,dishes",2,2382,15,"Sameh",35,"Hurghada","Cash"
"6894","beef,ice cream",2,2031,12,"Eman",23,"Aswan","Cash"
"6896","pip fruit,margarine,soda,long life bakery product,waffles,specialty chocolate,detergent,dish cleaner,hygiene articles,house keeping products,flower soil/fertilizer",11,1106,14,"Magdy",36,"Sohag","Credit"
"6897","chicken,other vegetables,beverages,spices,hygiene articles",5,2248,12,"Eman",23,"Aswan","Credit"
"6898","chicken,citrus fruit,whole milk,processed cheese,coffee,soda,fruit/vegetable juice,canned beer,white wine,candy,shopping bags",11,1609,1,"Farida",22,"Cairo","Cash"
"6899","liqueur",1,835,9,"Maged",60,"Hurghada","Credit"
"6900","berries,yogurt,whipped/sour cream",3,2146,5,"Shimaa",55,"Port Said","Credit"
"6901","sausage,UHT-milk,domestic eggs,white bread,soda,cake bar",6,1670,2,"Mohamed",25,"Alexandria","Credit"
"6902","sausage,root vegetables,butter,oil,pickled vegetables,bottled beer,shopping bags",7,884,7,"Huda",39,"Gharbia","Credit"
"6903","other vegetables,pastry,canned fruit,chocolate,dishes",5,2227,10,"Samy",55,"Alexandria","Cash"
"6904","bottled beer",1,1152,8,"Rania",37,"Dakahlia","Credit"
"6905","sausage,meat,berries,whole milk,whipped/sour cream,white bread,fruit/vegetable juice,long life bakery product,waffles,abrasive cleaner",10,630,14,"Magdy",36,"Sohag","Cash"
"6906","bottled water,soda",2,2377,12,"Eman",23,"Aswan","Cash"
"6907","newspapers",1,1287,2,"Mohamed",25,"Alexandria","Cash"
"6908","soda",1,909,9,"Maged",60,"Hurghada","Cash"
"6909","packaged fruit/vegetables",1,656,1,"Farida",22,"Cairo","Cash"
"6910","dessert,rolls/buns,waffles",3,2164,10,"Samy",55,"Alexandria","Credit"
"6911","hamburger meat,pip fruit,tea,bottled beer,white wine",5,1639,13,"Sayed",37,"Cairo","Cash"
"6912","white bread,soda,shopping bags",3,192,3,"Ahmed",30,"Giza","Cash"
"6913","sausage,meat,citrus fruit,yogurt,hard cheese,frozen meals,soda,fruit/vegetable juice,napkins,newspapers",10,226,3,"Ahmed",30,"Giza","Credit"
"6914","shopping bags",1,1868,15,"Sameh",35,"Hurghada","Credit"
"6915","shopping bags",1,2364,8,"Rania",37,"Dakahlia","Credit"
"6916","beef,root vegetables,herbs,frozen vegetables,fruit/vegetable juice,specialty chocolate",6,2259,3,"Ahmed",30,"Giza","Cash"
"6917","citrus fruit,pip fruit,other vegetables,rolls/buns",4,265,1,"Farida",22,"Cairo","Credit"
"6918","citrus fruit,butter,frozen vegetables,baking powder",4,1063,2,"Mohamed",25,"Alexandria","Cash"
"6919","frozen potato products,seasonal products",2,442,9,"Maged",60,"Hurghada","Cash"
"6920","curd,beverages,pastry,pot plants",4,896,9,"Maged",60,"Hurghada","Cash"
"6921","frankfurter,beef,other vegetables,chocolate,shopping bags",5,1809,2,"Mohamed",25,"Alexandria","Cash"
"6922","whipped/sour cream,UHT-milk,domestic eggs",3,2141,5,"Shimaa",55,"Port Said","Credit"
"6923","whole milk,soda,specialty bar,newspapers",4,298,10,"Samy",55,"Alexandria","Cash"
"6924","pastry,canned beer,chocolate,newspapers",4,684,4,"Adel",50,"Alexandria","Credit"
"6925","whole milk,curd,soda,bottled beer,cling film/bags",5,2091,7,"Huda",39,"Gharbia","Cash"
"6926","whole milk,misc. beverages,salty snack,long life bakery product,shopping bags",5,2029,9,"Maged",60,"Hurghada","Credit"
"6927","citrus fruit,oil,baking powder,candy,dishes",5,132,6,"Walaa",29,"Cairo","Credit"
"6928","whole milk,canned fish,bottled beer,abrasive cleaner,cleaner",5,120,11,"Hanan",22,"Fayoum","Credit"
"6929","oil,candy",2,1841,13,"Sayed",37,"Cairo","Credit"
"6930","meat,hamburger meat,brown bread",3,693,6,"Walaa",29,"Cairo","Credit"
"6931","specialty chocolate",1,2024,11,"Hanan",22,"Fayoum","Cash"
"6932","bottled beer",1,1996,6,"Walaa",29,"Cairo","Cash"
"6933","ice cream",1,1929,5,"Shimaa",55,"Port Said","Cash"
"6934","other vegetables",1,564,8,"Rania",37,"Dakahlia","Credit"
"6935","beef,whipped/sour cream,roll products ",3,982,4,"Adel",50,"Alexandria","Cash"
"6936","canned vegetables,female sanitary products,shopping bags",3,1379,11,"Hanan",22,"Fayoum","Credit"
"6938","citrus fruit,tropical fruit,whole milk,butter milk,rice,oil,canned fruit,bottled water,white wine,popcorn,hygiene articles,shopping bags",12,119,6,"Walaa",29,"Cairo","Credit"
"6939","sausage,citrus fruit",2,1552,2,"Mohamed",25,"Alexandria","Cash"
"6940","bottled water,bottled beer",2,678,11,"Hanan",22,"Fayoum","Cash"
"6941","tropical fruit",1,674,11,"Hanan",22,"Fayoum","Credit"
"6942","other vegetables,whole milk,dessert,butter milk,yogurt,cream cheese ,pickled vegetables",7,718,9,"Maged",60,"Hurghada","Credit"
"6943","root vegetables",1,1716,5,"Shimaa",55,"Port Said","Cash"
"6944","dessert,bottled water,fruit/vegetable juice",3,792,4,"Adel",50,"Alexandria","Cash"
"6945","chewing gum,specialty bar",2,909,2,"Mohamed",25,"Alexandria","Credit"
"6946","onions,whole milk,curd,soda",4,1819,15,"Sameh",35,"Hurghada","Cash"
"6947","pip fruit,root vegetables,other vegetables,whole milk,margarine,bottled water",6,975,1,"Farida",22,"Cairo","Credit"
"6948","soda",1,699,13,"Sayed",37,"Cairo","Credit"
"6949","packaged fruit/vegetables",1,794,2,"Mohamed",25,"Alexandria","Cash"
"6950","tropical fruit,other vegetables,packaged fruit/vegetables,butter,bottled water",5,309,11,"Hanan",22,"Fayoum","Credit"
"6951","canned beer",1,886,3,"Ahmed",30,"Giza","Cash"
"6952","sausage,pip fruit,root vegetables,whole milk,butter,domestic eggs,brown bread,cereals,baking powder,fruit/vegetable juice,long life bakery product,chocolate",12,1339,11,"Hanan",22,"Fayoum","Credit"
"6953","soda,misc. beverages,specialty bar",3,1392,12,"Eman",23,"Aswan","Credit"
"6954","whole milk,semi-finished bread,sugar,coffee,seasonal products,hygiene articles,napkins,shopping bags",8,646,14,"Magdy",36,"Sohag","Cash"
"6955","frozen dessert,pastry,semi-finished bread,vinegar,coffee",5,533,8,"Rania",37,"Dakahlia","Cash"
"6956","citrus fruit,tropical fruit,pip fruit,shopping bags",4,880,10,"Samy",55,"Alexandria","Cash"
"6957","coffee,seasonal products,shopping bags",3,103,11,"Hanan",22,"Fayoum","Credit"
"6958","oil,canned beer",2,497,11,"Hanan",22,"Fayoum","Credit"
"6959","tropical fruit",1,841,1,"Farida",22,"Cairo","Credit"
"6960","soda",1,2426,1,"Farida",22,"Cairo","Cash"
"6961","chicken,curd",2,2266,4,"Adel",50,"Alexandria","Cash"
"6962","other vegetables,packaged fruit/vegetables,dessert,frozen vegetables,domestic eggs,flour,salt,sugar",8,1661,1,"Farida",22,"Cairo","Credit"
"6963","dessert,flower soil/fertilizer,flower (seeds)",3,2159,11,"Hanan",22,"Fayoum","Credit"
"6964","sausage,other vegetables,frozen dessert,pastry,fruit/vegetable juice,long life bakery product",6,2308,1,"Farida",22,"Cairo","Cash"
"6965","condensed milk,pastry,chocolate",3,176,4,"Adel",50,"Alexandria","Cash"
"6966","brown bread,soda",2,1460,6,"Walaa",29,"Cairo","Cash"
"6967","pip fruit",1,2454,10,"Samy",55,"Alexandria","Cash"
"6968","bottled water,soda,fruit/vegetable juice,salty snack,newspapers",5,1092,12,"Eman",23,"Aswan","Cash"
"6969","shopping bags",1,2397,5,"Shimaa",55,"Port Said","Cash"
"6970","sausage,sparkling wine",2,1246,5,"Shimaa",55,"Port Said","Credit"
"6971","whole milk,frozen vegetables,bottled water",3,1437,13,"Sayed",37,"Cairo","Credit"
"6972","soda",1,307,8,"Rania",37,"Dakahlia","Credit"
"6973","whole milk,yogurt,frozen vegetables",3,1974,14,"Magdy",36,"Sohag","Cash"
"6974","pastry,chocolate,specialty bar",3,372,10,"Samy",55,"Alexandria","Credit"
"6975","citrus fruit,tropical fruit,whole milk,curd,yogurt,domestic eggs,bottled water,soda,shopping bags",9,1687,3,"Ahmed",30,"Giza","Credit"
"6976","ice cream",1,1978,10,"Samy",55,"Alexandria","Cash"
"6977","whole milk,UHT-milk,frozen potato products,baking powder,pet care,popcorn,candy",7,720,8,"Rania",37,"Dakahlia","Cash"
"6978","whole milk,dessert,yogurt,white bread",4,1151,13,"Sayed",37,"Cairo","Credit"
"6979","frankfurter,grapes",2,2485,4,"Adel",50,"Alexandria","Cash"
"6980","citrus fruit,oil,misc. beverages",3,2441,2,"Mohamed",25,"Alexandria","Cash"
"6981","yogurt,bottled water,soda,newspapers",4,2005,7,"Huda",39,"Gharbia","Cash"
"6982","yogurt,waffles,hygiene articles",3,394,3,"Ahmed",30,"Giza","Credit"
"6983","rolls/buns,bottled beer,hygiene articles",3,1563,14,"Magdy",36,"Sohag","Cash"
"6984","soda,fruit/vegetable juice,bottled beer",3,1849,9,"Maged",60,"Hurghada","Cash"
"6985","onions,whole milk,processed cheese,pastry,oil",5,765,5,"Shimaa",55,"Port Said","Cash"
"6986","butter milk,white bread,pet care,newspapers",4,875,4,"Adel",50,"Alexandria","Cash"
"6987","frankfurter,dessert,rolls/buns,artif. sweetener,mustard,canned beer,dish cleaner,male cosmetics",8,2241,13,"Sayed",37,"Cairo","Cash"
"6988","frozen dessert,softener",2,1804,15,"Sameh",35,"Hurghada","Cash"
"6989","citrus fruit,tropical fruit,pip fruit,yogurt,ice cream,soda",6,747,7,"Huda",39,"Gharbia","Cash"
"6990","tropical fruit,other vegetables,whole milk,curd,frozen fish,domestic eggs,baking powder,cling film/bags",8,2196,7,"Huda",39,"Gharbia","Credit"
"6991","hard cheese,pastry,popcorn,pot plants",4,1964,6,"Walaa",29,"Cairo","Credit"
"6992","whipped/sour cream",1,2169,15,"Sameh",35,"Hurghada","Cash"
"6993","pork,bottled water,white wine",3,621,11,"Hanan",22,"Fayoum","Credit"
"6994","onions,white bread,hygiene articles",3,2279,14,"Magdy",36,"Sohag","Credit"
"6995","tropical fruit,pip fruit,whole milk,hard cheese,frozen meals,white bread,zwieback,sparkling wine,softener,hygiene articles,newspapers",11,196,8,"Rania",37,"Dakahlia","Cash"
"6996","other vegetables",1,705,12,"Eman",23,"Aswan","Credit"
"6997","sausage,other vegetables,brown bread,misc. beverages,fruit/vegetable juice,chocolate,candy",7,1558,5,"Shimaa",55,"Port Said","Cash"
"6998","chocolate",1,871,8,"Rania",37,"Dakahlia","Cash"
"6999","soda",1,2345,13,"Sayed",37,"Cairo","Credit"
"7000","yogurt,frozen meals,soda",3,946,11,"Hanan",22,"Fayoum","Cash"
"7001","pip fruit,canned beer",2,1187,9,"Maged",60,"Hurghada","Credit"
"7002","bottled water,soda,chocolate,shopping bags",4,1280,1,"Farida",22,"Cairo","Credit"
"7003","bottled beer",1,1735,7,"Huda",39,"Gharbia","Cash"
"7004","frozen vegetables",1,2160,11,"Hanan",22,"Fayoum","Credit"
"7005","detergent",1,932,15,"Sameh",35,"Hurghada","Credit"
"7006","bottled water,soda,cake bar,chocolate,shopping bags",5,2215,7,"Huda",39,"Gharbia","Credit"
"7007","other vegetables",1,250,2,"Mohamed",25,"Alexandria","Cash"
"7008","yogurt,margarine,bottled water,chewing gum",4,663,1,"Farida",22,"Cairo","Cash"
"7009","sweet spreads,waffles",2,576,3,"Ahmed",30,"Giza","Credit"
"7010","tropical fruit,yogurt,spread cheese,brown bread",4,1667,15,"Sameh",35,"Hurghada","Credit"
"7011","whole milk,brown bread,newspapers",3,131,12,"Eman",23,"Aswan","Cash"
"7012","citrus fruit,soda",2,2145,14,"Magdy",36,"Sohag","Credit"
"7013","citrus fruit,pip fruit,grapes,other vegetables,brown bread,cat food,bottled water,napkins",8,169,13,"Sayed",37,"Cairo","Credit"
"7014","citrus fruit,other vegetables,frozen meals,rice,bottled beer,canned beer",6,2334,10,"Samy",55,"Alexandria","Credit"
"7015","pork",1,2081,3,"Ahmed",30,"Giza","Cash"
"7016","yogurt,soda,fruit/vegetable juice",3,802,15,"Sameh",35,"Hurghada","Cash"
"7017","beef,tropical fruit,root vegetables,whole milk,rolls/buns,bottled water,salty snack",7,1218,8,"Rania",37,"Dakahlia","Credit"
"7018","shopping bags",1,541,8,"Rania",37,"Dakahlia","Cash"
"7019","whipped/sour cream,napkins",2,502,13,"Sayed",37,"Cairo","Cash"
"7020","other vegetables,brown bread",2,464,1,"Farida",22,"Cairo","Credit"
"7021","sugar",1,1336,12,"Eman",23,"Aswan","Cash"
"7022","packaged fruit/vegetables,whole milk,soda",3,335,6,"Walaa",29,"Cairo","Credit"
"7023","tropical fruit,butter,whipped/sour cream,rolls/buns",4,626,1,"Farida",22,"Cairo","Credit"
"7024","whole milk,ice cream",2,756,10,"Samy",55,"Alexandria","Cash"
"7026","tropical fruit,whole milk,yogurt,pastry,soda,misc. beverages",6,485,3,"Ahmed",30,"Giza","Credit"
"7027","chewing gum,hygiene articles",2,1204,2,"Mohamed",25,"Alexandria","Credit"
"7028","tropical fruit,whole milk,long life bakery product,chocolate",4,884,14,"Magdy",36,"Sohag","Credit"
"7029","white wine",1,1849,1,"Farida",22,"Cairo","Cash"
"7030","whole milk,coffee",2,1116,4,"Adel",50,"Alexandria","Credit"
"7031","canned beer",1,1875,2,"Mohamed",25,"Alexandria","Cash"
"7032","tropical fruit,pip fruit,other vegetables,curd,beverages,pastry,soda,waffles",8,304,6,"Walaa",29,"Cairo","Cash"
"7033","chicken,beef,packaged fruit/vegetables,dessert,whipped/sour cream,soft cheese,frozen meals,rolls/buns,white bread,pasta,shopping bags",11,1004,2,"Mohamed",25,"Alexandria","Credit"
"7034","sweet spreads,hygiene articles,house keeping products",3,989,14,"Magdy",36,"Sohag","Credit"
"7035","packaged fruit/vegetables,fruit/vegetable juice,salty snack",3,1996,15,"Sameh",35,"Hurghada","Credit"
"7036","other vegetables,whole milk",2,2062,3,"Ahmed",30,"Giza","Cash"
"7037","citrus fruit,condensed milk,flour",3,2324,6,"Walaa",29,"Cairo","Credit"
"7038","whipped/sour cream",1,2025,7,"Huda",39,"Gharbia","Credit"
"7039","hamburger meat,citrus fruit,root vegetables,other vegetables,ice cream,domestic eggs,rolls/buns,white bread,canned beer,long life bakery product,cling film/bags",11,2227,12,"Eman",23,"Aswan","Credit"
"7040","bottled water,soda",2,184,12,"Eman",23,"Aswan","Cash"
"7041","frozen meals,frozen fish,frozen dessert,pastry,canned beer,long life bakery product,waffles,napkins,shopping bags",9,375,9,"Maged",60,"Hurghada","Credit"
"7042","white bread,flour,fruit/vegetable juice,hygiene articles",4,2466,15,"Sameh",35,"Hurghada","Cash"
"7043","pastry,pickled vegetables,canned beer",3,1248,5,"Shimaa",55,"Port Said","Credit"
"7044","bottled beer",1,141,4,"Adel",50,"Alexandria","Cash"
"7045","tropical fruit,yogurt,whipped/sour cream,sliced cheese,coffee,soda,fruit/vegetable juice,hair spray,soap",9,355,3,"Ahmed",30,"Giza","Credit"
"7046","sausage,tropical fruit,whole milk,soft cheese,brown bread,fruit/vegetable juice",6,174,15,"Sameh",35,"Hurghada","Credit"
"7047","soda",1,1567,8,"Rania",37,"Dakahlia","Credit"
"7048","rolls/buns",1,1930,12,"Eman",23,"Aswan","Credit"
"7049","UHT-milk,bottled water",2,1697,8,"Rania",37,"Dakahlia","Cash"
"7050","nuts/prunes,canned fish,soda,shopping bags",4,1087,13,"Sayed",37,"Cairo","Credit"
"7051","canned beer",1,1227,2,"Mohamed",25,"Alexandria","Cash"
"7052","tropical fruit,root vegetables,whole milk,condensed milk,rolls/buns,bottled beer,waffles",7,124,9,"Maged",60,"Hurghada","Credit"
"7053","oil,pickled vegetables,hygiene articles",3,2071,7,"Huda",39,"Gharbia","Credit"
"7054","rolls/buns",1,1334,9,"Maged",60,"Hurghada","Credit"
"7055","citrus fruit,tropical fruit,whole milk,rolls/buns,honey",5,261,1,"Farida",22,"Cairo","Cash"
"7056","berries,yogurt",2,1848,5,"Shimaa",55,"Port Said","Cash"
"7057","beef,citrus fruit,root vegetables,pasta,canned beer,male cosmetics,hygiene articles",7,2079,5,"Shimaa",55,"Port Said","Credit"
"7058","citrus fruit,rolls/buns,chewing gum,shopping bags",4,944,6,"Walaa",29,"Cairo","Cash"
"7059","frankfurter,pastry,soda",3,1872,11,"Hanan",22,"Fayoum","Credit"
"7060","whole milk,sliced cheese,rolls/buns,shopping bags",4,891,12,"Eman",23,"Aswan","Credit"
"7061","beef,onions,other vegetables,rolls/buns",4,761,1,"Farida",22,"Cairo","Cash"
"7062","pip fruit,dish cleaner,napkins",3,2356,12,"Eman",23,"Aswan","Credit"
"7063","domestic eggs,candy",2,677,8,"Rania",37,"Dakahlia","Cash"
"7064","root vegetables,butter,curd,pastry,chocolate,kitchen towels",6,2368,6,"Walaa",29,"Cairo","Cash"
"7065","softener",1,115,7,"Huda",39,"Gharbia","Cash"
"7066","whole milk,butter,sugar,coffee",4,2455,8,"Rania",37,"Dakahlia","Credit"
"7067","frankfurter,hygiene articles",2,1448,3,"Ahmed",30,"Giza","Cash"
"7068","chicken,root vegetables,other vegetables,curd,yogurt,beverages,margarine,candles,flower (seeds)",9,1589,3,"Ahmed",30,"Giza","Credit"
"7070","curd,yogurt,bathroom cleaner",3,2041,7,"Huda",39,"Gharbia","Cash"
"7071","frankfurter,coffee",2,2346,5,"Shimaa",55,"Port Said","Cash"
"7072","pip fruit,curd,margarine,baking powder",4,1534,12,"Eman",23,"Aswan","Cash"
"7073","yogurt,light bulbs",2,704,2,"Mohamed",25,"Alexandria","Cash"
"7074","rolls/buns",1,617,2,"Mohamed",25,"Alexandria","Cash"
"7075","chicken,root vegetables,curd,specialty bar,newspapers",5,1871,9,"Maged",60,"Hurghada","Cash"
"7076","beef",1,2239,1,"Farida",22,"Cairo","Credit"
"7077","citrus fruit,whole milk,butter,yogurt,frozen vegetables,rolls/buns,baking powder,instant coffee,napkins,dishes,newspapers",11,1234,8,"Rania",37,"Dakahlia","Credit"
"7078","beef,soft cheese,bottled beer",3,1989,8,"Rania",37,"Dakahlia","Cash"
"7079","rolls/buns,bottled water",2,965,13,"Sayed",37,"Cairo","Credit"
"7080","pastry,soda",2,1284,5,"Shimaa",55,"Port Said","Cash"
"7081","canned beer",1,2214,1,"Farida",22,"Cairo","Credit"
"7082","whole milk",1,1900,9,"Maged",60,"Hurghada","Cash"
"7083","pip fruit,whole milk,butter,cream cheese ,bottled water,newspapers",6,1703,12,"Eman",23,"Aswan","Cash"
"7084","citrus fruit,tropical fruit,whole milk,pastry,margarine,candles",6,1390,2,"Mohamed",25,"Alexandria","Cash"
"7085","other vegetables,whole milk,yogurt,domestic eggs,roll products ,newspapers,shopping bags",7,1698,2,"Mohamed",25,"Alexandria","Cash"
"7086","citrus fruit,root vegetables,whole milk,butter milk,yogurt,baking powder,bottled water",7,1870,9,"Maged",60,"Hurghada","Cash"
"7087","beef,white wine",2,601,14,"Magdy",36,"Sohag","Cash"
"7088","meat",1,352,14,"Magdy",36,"Sohag","Credit"
"7089","UHT-milk,condensed milk,sugar,coffee,cling film/bags",5,1054,13,"Sayed",37,"Cairo","Credit"
"7090","frankfurter,sausage,finished products,organic sausage,pastry,waffles",6,540,2,"Mohamed",25,"Alexandria","Credit"
"7091","sausage,sliced cheese,rolls/buns,soda",4,1624,15,"Sameh",35,"Hurghada","Credit"
"7092","bottled beer,liquor,shopping bags",3,1412,2,"Mohamed",25,"Alexandria","Cash"
"7093","soda",1,2417,12,"Eman",23,"Aswan","Cash"
"7094","tropical fruit,whole milk,curd,yogurt,brown bread,pastry,cereals,seasonal products",8,2382,14,"Magdy",36,"Sohag","Cash"
"7095","other vegetables,whole milk,rolls/buns,flour",4,2494,4,"Adel",50,"Alexandria","Cash"
"7096","hamburger meat,rolls/buns,candles",3,1495,5,"Shimaa",55,"Port Said","Credit"
"7097","fish,root vegetables,rolls/buns,roll products ,napkins",5,2391,12,"Eman",23,"Aswan","Credit"
"7099","yogurt,cream cheese ,spread cheese,rolls/buns,bottled water,soda,fruit/vegetable juice,bottled beer,chocolate,newspapers",10,1085,8,"Rania",37,"Dakahlia","Cash"
"7100","tropical fruit,yogurt,coffee,cling film/bags,newspapers",5,1036,15,"Sameh",35,"Hurghada","Credit"
"7101","meat,root vegetables,pastry",3,121,15,"Sameh",35,"Hurghada","Cash"
"7102","bottled water,soda,salty snack",3,2465,13,"Sayed",37,"Cairo","Cash"
"7103","hamburger meat,whole milk,yogurt,salt,canned vegetables,soda,cling film/bags",7,566,6,"Walaa",29,"Cairo","Credit"
"7104","meat,root vegetables,hard cheese,brown bread",4,600,13,"Sayed",37,"Cairo","Cash"
"7105","frankfurter",1,180,2,"Mohamed",25,"Alexandria","Credit"
"7106","chicken,citrus fruit,butter,margarine,bottled water,soda,fruit/vegetable juice,newspapers",8,1910,4,"Adel",50,"Alexandria","Credit"
"7107","chicken,other vegetables,whipped/sour cream,pickled vegetables",4,375,5,"Shimaa",55,"Port Said","Cash"
"7108","salty snack",1,1389,12,"Eman",23,"Aswan","Cash"
"7109","whole milk,whipped/sour cream",2,1360,11,"Hanan",22,"Fayoum","Cash"
"7110","rolls/buns",1,648,7,"Huda",39,"Gharbia","Cash"
"7111","beef,hamburger meat",2,1399,1,"Farida",22,"Cairo","Cash"
"7112","citrus fruit,onions,soups",3,1715,1,"Farida",22,"Cairo","Credit"
"7113","chicken,herbs,curd,oil,soda,canned beer,napkins",7,2271,10,"Samy",55,"Alexandria","Cash"
"7114","citrus fruit,other vegetables,curd,brown bread,hygiene articles",5,1036,8,"Rania",37,"Dakahlia","Cash"
"7115","bottled water,white wine,salty snack",3,1346,2,"Mohamed",25,"Alexandria","Credit"
"7116","sausage,other vegetables,whole milk,UHT-milk,frozen vegetables,frozen fish,cling film/bags,house keeping products,shopping bags",9,1602,14,"Magdy",36,"Sohag","Cash"
"7117","pip fruit,grapes,whole milk,rolls/buns",4,808,7,"Huda",39,"Gharbia","Cash"
"7118","frankfurter,beef,whole milk,chocolate marshmallow",4,1694,13,"Sayed",37,"Cairo","Credit"
"7119","ham,hamburger meat,whole milk,processed cheese,rolls/buns,pastry,Instant food products,fruit/vegetable juice,salty snack,chocolate marshmallow",10,1149,8,"Rania",37,"Dakahlia","Cash"
"7120","butter,sliced cheese,brown bread",3,643,2,"Mohamed",25,"Alexandria","Cash"
"7121","pork,citrus fruit,whole milk,curd,yogurt,bottled beer,dishes",7,154,15,"Sameh",35,"Hurghada","Cash"
"7122","pork,beverages",2,1802,15,"Sameh",35,"Hurghada","Credit"
"7123","citrus fruit,pip fruit,other vegetables,condensed milk,frozen vegetables,pastry,waffles",7,1692,4,"Adel",50,"Alexandria","Cash"
"7124","canned beer",1,2366,10,"Samy",55,"Alexandria","Cash"
"7125","berries,liquor",2,576,14,"Magdy",36,"Sohag","Credit"
"7126","condensed milk,bottled water,fruit/vegetable juice,bottled beer,canned beer",5,998,7,"Huda",39,"Gharbia","Credit"
"7127","chicken,rolls/buns,margarine,coffee,bottled water,red/blush wine,long life bakery product,candy,newspapers",9,998,4,"Adel",50,"Alexandria","Cash"
"7128","rolls/buns",1,296,8,"Rania",37,"Dakahlia","Cash"
"7129","pork,citrus fruit,tropical fruit,pip fruit",4,1959,11,"Hanan",22,"Fayoum","Credit"
"7130","whole milk,rolls/buns,soap,napkins,newspapers",5,1457,1,"Farida",22,"Cairo","Cash"
"7131","root vegetables,frozen vegetables",2,1460,15,"Sameh",35,"Hurghada","Cash"
"7132","chicken,beef,root vegetables,whole milk,curd,yogurt,hard cheese,cream cheese ,domestic eggs,sweet spreads,dog food,napkins",12,594,6,"Walaa",29,"Cairo","Credit"
"7133","root vegetables,other vegetables,whole milk,yogurt,hard cheese,frozen vegetables,rolls/buns",7,1189,15,"Sameh",35,"Hurghada","Credit"
"7134","tropical fruit,other vegetables,whole milk,margarine",4,1909,4,"Adel",50,"Alexandria","Cash"
"7135","root vegetables,other vegetables,yogurt,cream cheese ,rolls/buns",5,2345,14,"Magdy",36,"Sohag","Credit"
"7136","chewing gum",1,1821,7,"Huda",39,"Gharbia","Credit"
"7137","root vegetables,whole milk,beverages,salt",4,626,12,"Eman",23,"Aswan","Cash"
"7138","chicken,grapes,whole milk,rolls/buns,white wine,dishes",6,531,5,"Shimaa",55,"Port Said","Credit"
"7139","canned beer",1,718,11,"Hanan",22,"Fayoum","Cash"
"7140","whole milk",1,2166,8,"Rania",37,"Dakahlia","Credit"
"7141","citrus fruit,tropical fruit,root vegetables,frozen meals,frozen fish,bottled water",6,521,5,"Shimaa",55,"Port Said","Credit"
"7142","bottled beer",1,2128,15,"Sameh",35,"Hurghada","Cash"
"7143","whole milk",1,1180,3,"Ahmed",30,"Giza","Cash"
